City,Card Type,Exp Type,Gender,Amount
Bengaluru,Platinum,Bills,F,500852
Greater,Signature,Bills,F,488136
Delhi,Gold,Bills,F,937828
Delhi,Gold,Bills,F,315873
Greater,Silver,Bills,F,567623
Greater,Platinum,Bills,F,555123
Bengaluru,Gold,Bills,F,498843
Greater,Silver,Bills,F,752610
Greater,Platinum,Bills,F,494540
Delhi,Gold,Bills,F,996754
Ahmedabad,Signature,Bills,F,245572
Delhi,Gold,Bills,F,974384
Ahmedabad,Silver,Bills,F,846635
Ahmedabad,Silver,Bills,F,635473
Delhi,Gold,Bills,F,224510
Delhi,Silver,Bills,F,478671
Greater,Gold,Bills,F,990700
Delhi,Gold,Bills,F,228565
Bengaluru,Silver,Bills,F,297732
Greater,Signature,Bills,F,559262
Bengaluru,Signature,Bills,F,809907
Ahmedabad,Signature,Bills,F,428316
Ahmedabad,Signature,Bills,F,275065
Bengaluru,Silver,Bills,F,845653
Ahmedabad,Signature,Bills,F,236296
Bengaluru,Signature,Bills,F,440572
Ahmedabad,Gold,Bills,F,478115
Bengaluru,Gold,Bills,F,897621
Greater,Signature,Bills,F,554281
Delhi,Silver,Bills,F,245452
Delhi,Platinum,Bills,F,365045
Greater,Gold,Bills,F,496047
Bengaluru,Silver,Bills,F,466814
Bengaluru,Gold,Bills,F,835177
Delhi,Silver,Bills,F,219698
Bengaluru,Silver,Bills,F,784541
Delhi,Signature,Bills,F,576994
Bengaluru,Gold,Bills,F,464663
Bengaluru,Platinum,Bills,F,380270
Ahmedabad,Silver,Bills,F,772082
Delhi,Gold,Bills,F,230853
Bengaluru,Signature,Bills,F,677654
Greater,Signature,Bills,F,929247
Ahmedabad,Platinum,Bills,F,851374
Ahmedabad,Platinum,Bills,F,637600
Greater,Platinum,Bills,F,681749
Delhi,Silver,Bills,F,847958
Greater,Gold,Bills,F,877569
Ahmedabad,Platinum,Bills,F,450413
Bengaluru,Signature,Bills,F,219041
Bengaluru,Gold,Bills,F,866572
Greater,Signature,Bills,F,570791
Ahmedabad,Silver,Bills,F,705464
Greater,Signature,Bills,F,806821
Greater,Platinum,Bills,F,515472
Ahmedabad,Silver,Bills,F,352207
Ahmedabad,Gold,Bills,F,342761
Bengaluru,Signature,Bills,F,249099
Ahmedabad,Platinum,Bills,F,995634
Bengaluru,Signature,Bills,F,435097
Ahmedabad,Platinum,Bills,F,797815
Delhi,Gold,Bills,F,326922
Bengaluru,Gold,Bills,F,396241
Delhi,Gold,Bills,F,486949
Greater,Gold,Bills,F,333483
Ahmedabad,Platinum,Bills,F,612572
Bengaluru,Silver,Bills,F,327244
Ahmedabad,Silver,Bills,F,955468
Greater,Gold,Bills,F,927864
Delhi,Signature,Bills,F,555220
Delhi,Silver,Bills,F,952640
Ahmedabad,Silver,Bills,F,695749
Greater,Platinum,Bills,F,365724
Greater,Platinum,Bills,F,738108
Ahmedabad,Platinum,Bills,F,650785
Delhi,Signature,Bills,F,611486
Bengaluru,Platinum,Bills,F,965721
Ahmedabad,Gold,Bills,F,413052
Ahmedabad,Silver,Bills,F,584822
Ahmedabad,Gold,Bills,F,980146
Ahmedabad,Signature,Bills,F,926072
Delhi,Silver,Bills,F,482394
Bengaluru,Signature,Bills,F,718346
Bengaluru,Silver,Bills,F,491598
Delhi,Platinum,Bills,F,848852
Bengaluru,Gold,Bills,F,396139
Ahmedabad,Signature,Bills,F,856974
Ahmedabad,Signature,Bills,F,855990
Delhi,Signature,Bills,F,924776
Greater,Signature,Bills,F,204850
Delhi,Platinum,Bills,F,780669
Greater,Signature,Bills,F,887442
Delhi,Signature,Bills,F,297820
Delhi,Signature,Bills,F,687879
Greater,Silver,Bills,F,738456
Delhi,Platinum,Bills,F,378535
Greater,Silver,Bills,F,334116
Delhi,Silver,Bills,F,772360
Ahmedabad,Gold,Bills,F,580796
Greater,Silver,Bills,F,855465
Greater,Gold,Bills,F,978989
Ahmedabad,Gold,Bills,F,451874
Ahmedabad,Silver,Bills,F,670750
Bengaluru,Signature,Bills,F,977951
Delhi,Platinum,Bills,F,403466
Delhi,Signature,Bills,F,861177
Ahmedabad,Gold,Bills,F,528612
Ahmedabad,Signature,Bills,F,339670
Delhi,Signature,Bills,F,963751
Ahmedabad,Gold,Bills,F,761930
Ahmedabad,Signature,Bills,F,852806
Delhi,Signature,Bills,F,207755
Greater,Gold,Bills,F,489540
Ahmedabad,Silver,Bills,F,274395
Bengaluru,Platinum,Bills,F,566945
Ahmedabad,Gold,Bills,F,705690
Bengaluru,Gold,Bills,F,894888
Greater,Platinum,Bills,F,811899
Greater,Silver,Bills,F,677645
Greater,Platinum,Bills,F,326162
Delhi,Platinum,Bills,F,316946
Delhi,Platinum,Bills,F,622373
Bengaluru,Signature,Bills,F,640653
Ahmedabad,Signature,Bills,F,745493
Delhi,Gold,Bills,F,868021
Delhi,Platinum,Bills,F,284923
Bengaluru,Platinum,Bills,F,814422
Bengaluru,Gold,Bills,F,599741
Ahmedabad,Platinum,Bills,F,804560
Ahmedabad,Gold,Bills,F,996291
Ahmedabad,Platinum,Bills,F,477553
Delhi,Gold,Bills,F,216028
Greater,Signature,Bills,F,275427
Delhi,Silver,Bills,F,722048
Delhi,Silver,Bills,F,292365
Ahmedabad,Silver,Bills,F,400393
Greater,Platinum,Bills,F,219720
Delhi,Signature,Bills,F,981404
Bengaluru,Signature,Bills,F,639670
Bengaluru,Gold,Bills,F,814333
Ahmedabad,Gold,Bills,F,569582
Ahmedabad,Gold,Bills,F,954111
Ahmedabad,Gold,Bills,F,635267
Delhi,Gold,Bills,F,393651
Ahmedabad,Platinum,Bills,F,572306
Ahmedabad,Silver,Bills,F,407647
Greater,Gold,Bills,F,734396
Delhi,Platinum,Bills,F,224414
Ahmedabad,Signature,Bills,F,203194
Greater,Gold,Bills,F,250410
Delhi,Silver,Bills,F,830697
Greater,Platinum,Bills,F,790800
Greater,Silver,Bills,F,638570
Greater,Silver,Bills,F,380409
Greater,Gold,Bills,F,601631
Ahmedabad,Gold,Bills,F,690534
Ahmedabad,Silver,Bills,F,423661
Greater,Silver,Bills,F,936294
Bengaluru,Platinum,Bills,F,537050
Delhi,Silver,Bills,F,899343
Greater,Platinum,Bills,F,834691
Ahmedabad,Silver,Bills,F,240216
Greater,Signature,Bills,F,424370
Delhi,Silver,Bills,F,593991
Greater,Signature,Bills,F,768467
Delhi,Gold,Bills,F,781959
Bengaluru,Platinum,Bills,F,553907
Bengaluru,Platinum,Bills,F,308622
Greater,Signature,Bills,F,912334
Delhi,Silver,Bills,F,586474
Delhi,Gold,Bills,F,521237
Delhi,Signature,Bills,F,446266
Greater,Platinum,Bills,F,511168
Bengaluru,Signature,Bills,F,608438
Delhi,Gold,Bills,F,973519
Delhi,Platinum,Bills,F,688577
Bengaluru,Silver,Bills,F,686619
Greater,Signature,Bills,F,255982
Greater,Signature,Bills,F,464656
Delhi,Signature,Bills,F,212319
Greater,Platinum,Bills,F,307563
Delhi,Silver,Bills,F,407564
Bengaluru,Signature,Bills,F,331349
Delhi,Silver,Bills,F,391325
Ahmedabad,Silver,Bills,F,530244
Greater,Signature,Bills,F,668736
Bengaluru,Gold,Bills,F,517448
Ahmedabad,Platinum,Bills,F,788531
Ahmedabad,Gold,Bills,F,474729
Bengaluru,Platinum,Bills,F,590841
Greater,Platinum,Bills,F,608427
Delhi,Silver,Bills,F,719835
Delhi,Signature,Bills,F,375139
Bengaluru,Platinum,Bills,F,229589
Bengaluru,Signature,Bills,F,376453
Delhi,Signature,Bills,F,360009
Ahmedabad,Signature,Bills,F,770346
Greater,Signature,Bills,F,489043
Bengaluru,Platinum,Bills,F,503037
Greater,Platinum,Bills,F,731261
Ahmedabad,Signature,Bills,F,262755
Greater,Gold,Bills,F,825475
Greater,Platinum,Bills,F,922630
Delhi,Gold,Bills,F,752172
Ahmedabad,Gold,Bills,F,418009
Delhi,Signature,Bills,F,994537
Greater,Silver,Bills,F,922206
Greater,Signature,Bills,F,389097
Bengaluru,Signature,Bills,F,880778
Greater,Gold,Bills,F,327971
Bengaluru,Signature,Bills,F,689201
Bengaluru,Silver,Bills,F,792440
Bengaluru,Signature,Bills,F,602222
Ahmedabad,Platinum,Bills,F,502399
Ahmedabad,Silver,Bills,F,272804
Bengaluru,Platinum,Bills,F,613280
Delhi,Signature,Bills,F,876491
Bengaluru,Silver,Bills,F,820217
Greater,Signature,Bills,F,994184
Ahmedabad,Platinum,Bills,F,515263
Ahmedabad,Signature,Bills,F,338527
Ahmedabad,Silver,Bills,F,934683
Ahmedabad,Signature,Bills,F,454570
Greater,Gold,Bills,F,654519
Ahmedabad,Gold,Bills,F,958047
Bengaluru,Silver,Bills,F,465281
Ahmedabad,Signature,Bills,F,653161
Ahmedabad,Gold,Bills,F,307350
Greater,Silver,Bills,F,41002
Bengaluru,Silver,Bills,F,34743
Bengaluru,Signature,Bills,F,195589
Bengaluru,Signature,Bills,F,204735
Ahmedabad,Signature,Bills,F,118112
Greater,Platinum,Bills,F,61572
Delhi,Gold,Bills,F,274938
Greater,Signature,Bills,F,43854
Delhi,Gold,Bills,F,8798
Greater,Gold,Bills,F,192241
Bengaluru,Silver,Bills,F,128164
Delhi,Signature,Bills,F,249061
Greater,Gold,Bills,F,275283
Greater,Platinum,Bills,F,172194
Ahmedabad,Gold,Bills,F,13162
Bengaluru,Platinum,Bills,F,3427
Bengaluru,Gold,Bills,F,171374
Delhi,Signature,Bills,F,286251
Ahmedabad,Platinum,Bills,F,123417
Delhi,Silver,Bills,F,81088
Ahmedabad,Signature,Bills,F,64113
Bengaluru,Platinum,Bills,F,54374
Ahmedabad,Signature,Bills,F,175515
Delhi,Gold,Bills,F,78773
Bengaluru,Signature,Bills,F,143515
Delhi,Silver,Bills,F,263613
Greater,Platinum,Bills,F,265434
Delhi,Signature,Bills,F,87839
Delhi,Signature,Bills,F,60905
Delhi,Platinum,Bills,F,199726
Delhi,Silver,Bills,F,267896
Ahmedabad,Gold,Bills,F,198937
Greater,Gold,Bills,F,90745
Greater,Silver,Bills,F,86676
Greater,Platinum,Bills,F,163574
Greater,Signature,Bills,F,2138
Bengaluru,Silver,Bills,F,253749
Delhi,Platinum,Bills,F,60187
Bengaluru,Platinum,Bills,F,15566
Greater,Signature,Bills,F,242144
Delhi,Platinum,Bills,F,114049
Bengaluru,Gold,Bills,F,100992
Delhi,Silver,Bills,F,173017
Greater,Gold,Bills,F,279567
Delhi,Signature,Bills,F,25016
Delhi,Silver,Bills,F,157982
Bengaluru,Signature,Bills,F,240387
Delhi,Platinum,Bills,F,134030
Bengaluru,Gold,Bills,F,108651
Delhi,Gold,Bills,F,138617
Bengaluru,Signature,Bills,F,98963
Delhi,Silver,Bills,F,25486
Delhi,Gold,Bills,F,231140
Ahmedabad,Gold,Bills,F,20032
Greater,Gold,Bills,F,293938
Delhi,Silver,Bills,F,88175
Ahmedabad,Platinum,Bills,F,105297
Delhi,Platinum,Bills,F,129169
Greater,Signature,Bills,F,172386
Greater,Platinum,Bills,F,46369
Greater,Silver,Bills,F,158636
Delhi,Signature,Bills,F,87219
Delhi,Gold,Bills,F,183445
Bengaluru,Silver,Bills,F,147977
Ahmedabad,Platinum,Bills,F,243279
Bengaluru,Platinum,Bills,F,243950
Delhi,Silver,Bills,F,32548
Delhi,Platinum,Bills,F,118126
Greater,Platinum,Bills,F,13325
Greater,Gold,Bills,F,295055
Greater,Platinum,Bills,F,64764
Bengaluru,Platinum,Bills,F,174520
Delhi,Signature,Bills,F,72763
Greater,Signature,Bills,F,269809
Delhi,Silver,Bills,F,81145
Ahmedabad,Silver,Bills,F,25948
Greater,Silver,Bills,F,120188
Greater,Signature,Bills,F,8259
Delhi,Signature,Bills,F,285830
Bengaluru,Gold,Bills,F,67039
Ahmedabad,Gold,Bills,F,14370
Ahmedabad,Platinum,Bills,F,54304
Greater,Gold,Bills,F,188856
Ahmedabad,Gold,Bills,F,44635
Greater,Platinum,Bills,F,227273
Delhi,Gold,Bills,F,234200
Delhi,Signature,Bills,F,79053
Greater,Silver,Bills,F,49711
Greater,Signature,Bills,F,203463
Bengaluru,Signature,Bills,F,196985
Greater,Gold,Bills,F,246457
Delhi,Platinum,Bills,F,88344
Bengaluru,Signature,Bills,F,167457
Bengaluru,Gold,Bills,F,254598
Delhi,Platinum,Bills,F,102486
Greater,Silver,Bills,F,159428
Bengaluru,Platinum,Bills,F,296987
Ahmedabad,Signature,Bills,F,89418
Delhi,Signature,Bills,F,77247
Bengaluru,Gold,Bills,F,66542
Greater,Silver,Bills,F,194526
Bengaluru,Signature,Bills,F,178119
Bengaluru,Gold,Bills,F,258653
Delhi,Silver,Bills,F,97425
Delhi,Gold,Bills,F,223185
Greater,Gold,Bills,F,224750
Ahmedabad,Signature,Bills,F,103363
Greater,Platinum,Bills,F,49090
Bengaluru,Platinum,Bills,F,140584
Delhi,Platinum,Bills,F,61272
Delhi,Silver,Bills,F,25200
Greater,Signature,Bills,F,249893
Bengaluru,Gold,Bills,F,91325
Greater,Silver,Bills,F,81641
Greater,Platinum,Bills,F,267700
Greater,Silver,Food,F,193429
Ahmedabad,Gold,Food,F,97674
Bengaluru,Silver,Food,F,222579
Bengaluru,Platinum,Food,F,194846
Greater,Signature,Food,F,62690
Greater,Signature,Food,F,225614
Ahmedabad,Signature,Food,F,13879
Ahmedabad,Gold,Food,F,279579
Bengaluru,Gold,Food,F,253183
Bengaluru,Signature,Food,F,183197
Bengaluru,Gold,Food,F,260046
Bengaluru,Gold,Food,F,95981
Bengaluru,Gold,Food,F,157399
Delhi,Signature,Food,F,140041
Ahmedabad,Platinum,Food,F,288339
Ahmedabad,Platinum,Food,F,49494
Bengaluru,Platinum,Food,F,43954
Bengaluru,Platinum,Food,F,35543
Greater,Signature,Food,F,12982
Delhi,Platinum,Food,F,213140
Greater,Platinum,Food,F,95741
Bengaluru,Platinum,Food,F,129144
Ahmedabad,Gold,Food,F,115551
Bengaluru,Gold,Food,F,57961
Ahmedabad,Silver,Food,F,209527
Ahmedabad,Gold,Food,F,15892
Bengaluru,Signature,Food,F,155659
Greater,Silver,Food,F,246215
Greater,Signature,Food,F,149465
Ahmedabad,Gold,Food,F,259694
Delhi,Silver,Food,F,70009
Greater,Gold,Food,F,233391
Ahmedabad,Silver,Food,F,35002
Ahmedabad,Silver,Food,F,156519
Bengaluru,Gold,Food,F,286786
Bengaluru,Signature,Food,F,173244
Bengaluru,Platinum,Food,F,195804
Ahmedabad,Platinum,Food,F,162827
Bengaluru,Signature,Food,F,20036
Bengaluru,Signature,Food,F,266125
Greater,Signature,Food,F,156531
Ahmedabad,Signature,Food,F,288673
Ahmedabad,Signature,Food,F,67474
Delhi,Platinum,Food,F,220674
Greater,Gold,Food,F,282988
Bengaluru,Signature,Food,F,206308
Bengaluru,Platinum,Food,F,243074
Ahmedabad,Signature,Food,F,247181
Greater,Signature,Food,F,111842
Delhi,Gold,Food,F,277079
Delhi,Silver,Food,F,218638
Ahmedabad,Gold,Food,F,152216
Delhi,Signature,Food,F,42620
Ahmedabad,Gold,Food,F,101639
Greater,Silver,Food,F,102966
Bengaluru,Platinum,Food,F,127650
Greater,Platinum,Food,F,277737
Bengaluru,Signature,Food,F,251805
Ahmedabad,Signature,Food,F,288284
Bengaluru,Gold,Food,F,125290
Bengaluru,Silver,Food,F,166602
Ahmedabad,Silver,Food,F,219097
Bengaluru,Gold,Food,F,34082
Bengaluru,Silver,Food,F,20573
Bengaluru,Platinum,Food,F,245056
Ahmedabad,Signature,Food,F,131847
Delhi,Platinum,Food,F,276873
Bengaluru,Silver,Food,F,138342
Ahmedabad,Signature,Food,F,137292
Ahmedabad,Signature,Food,F,147750
Bengaluru,Signature,Food,F,2397
Bengaluru,Gold,Food,F,31051
Delhi,Signature,Food,F,55137
Greater,Gold,Food,F,136040
Ahmedabad,Platinum,Food,F,181721
Delhi,Signature,Food,F,81753
Ahmedabad,Platinum,Food,F,266386
Ahmedabad,Silver,Food,F,259008
Greater,Silver,Food,F,250995
Delhi,Signature,Food,F,232155
Greater,Silver,Food,F,48012
Delhi,Signature,Food,F,296543
Greater,Signature,Food,F,246893
Ahmedabad,Platinum,Food,F,95807
Ahmedabad,Platinum,Food,F,165278
Ahmedabad,Silver,Food,F,191618
Greater,Silver,Food,F,159718
Ahmedabad,Gold,Food,F,213552
Greater,Gold,Food,F,249061
Delhi,Silver,Food,F,279377
Delhi,Silver,Food,F,233694
Bengaluru,Silver,Food,F,102362
Bengaluru,Silver,Food,F,108296
Bengaluru,Gold,Food,F,258275
Bengaluru,Silver,Food,F,194260
Bengaluru,Gold,Food,F,167903
Ahmedabad,Silver,Food,F,128266
Bengaluru,Signature,Food,F,268543
Ahmedabad,Signature,Food,F,30653
Greater,Signature,Food,F,189981
Delhi,Gold,Food,F,230325
Greater,Signature,Food,F,176871
Greater,Platinum,Food,F,171241
Greater,Silver,Food,F,91846
Delhi,Silver,Food,F,162813
Delhi,Silver,Food,F,28569
Bengaluru,Silver,Food,F,231827
Delhi,Silver,Food,F,281283
Bengaluru,Silver,Food,F,291358
Delhi,Signature,Food,F,288888
Delhi,Gold,Food,F,283575
Greater,Silver,Food,F,132827
Delhi,Silver,Food,F,200721
Ahmedabad,Signature,Food,F,190220
Ahmedabad,Signature,Food,F,265508
Greater,Platinum,Food,F,298838
Greater,Silver,Food,F,203106
Ahmedabad,Platinum,Food,F,196647
Delhi,Gold,Food,F,136602
Greater,Gold,Food,F,236980
Greater,Signature,Food,F,59121
Bengaluru,Silver,Food,F,193944
Greater,Platinum,Food,F,109857
Bengaluru,Signature,Food,F,57768
Ahmedabad,Gold,Food,F,207196
Ahmedabad,Platinum,Food,F,8056
Ahmedabad,Platinum,Food,F,178478
Bengaluru,Platinum,Food,F,246046
Ahmedabad,Platinum,Food,F,192382
Greater,Gold,Food,F,19158
Greater,Platinum,Food,F,9552
Delhi,Platinum,Food,F,276862
Bengaluru,Silver,Food,F,147958
Greater,Gold,Food,F,151436
Ahmedabad,Signature,Food,F,271595
Bengaluru,Platinum,Food,F,8115
Greater,Silver,Food,F,73172
Delhi,Signature,Food,F,196816
Ahmedabad,Signature,Food,F,162829
Bengaluru,Signature,Food,F,252669
Ahmedabad,Gold,Food,F,54746
Bengaluru,Platinum,Food,F,108079
Ahmedabad,Platinum,Food,F,240804
Ahmedabad,Silver,Food,F,11289
Bengaluru,Silver,Food,F,127020
Greater,Signature,Food,F,114777
Delhi,Platinum,Food,F,88003
Delhi,Silver,Food,F,153154
Bengaluru,Gold,Food,F,114863
Bengaluru,Gold,Food,F,126912
Bengaluru,Platinum,Food,F,12621
Bengaluru,Silver,Food,F,248699
Ahmedabad,Gold,Food,F,232388
Delhi,Silver,Food,F,168039
Delhi,Silver,Food,F,122944
Bengaluru,Platinum,Food,F,171746
Greater,Platinum,Food,F,168495
Ahmedabad,Signature,Food,F,252614
Greater,Platinum,Food,F,233161
Greater,Gold,Food,F,85459
Ahmedabad,Signature,Food,F,156075
Greater,Signature,Food,F,161329
Greater,Gold,Food,F,183105
Delhi,Signature,Food,F,252691
Delhi,Gold,Food,F,221345
Ahmedabad,Platinum,Food,F,131014
Ahmedabad,Gold,Food,F,21571
Greater,Silver,Food,F,152307
Greater,Platinum,Food,F,193060
Bengaluru,Silver,Food,F,133084
Ahmedabad,Gold,Food,F,194361
Ahmedabad,Silver,Food,F,286369
Greater,Silver,Food,F,294814
Bengaluru,Gold,Food,F,276647
Greater,Signature,Food,F,269712
Bengaluru,Silver,Food,F,167306
Greater,Silver,Food,F,102247
Bengaluru,Platinum,Food,F,169677
Greater,Signature,Food,F,253586
Delhi,Gold,Food,F,285567
Ahmedabad,Signature,Food,F,155529
Delhi,Platinum,Food,F,214039
Greater,Signature,Food,F,25392
Ahmedabad,Platinum,Food,F,157972
Greater,Silver,Food,F,200754
Delhi,Silver,Food,F,24981
Delhi,Silver,Food,F,223418
Bengaluru,Signature,Food,F,23309
Bengaluru,Signature,Food,F,85771
Delhi,Silver,Food,F,189297
Greater,Gold,Food,F,125003
Ahmedabad,Silver,Food,F,226929
Greater,Silver,Food,F,176275
Bengaluru,Platinum,Food,F,253338
Ahmedabad,Signature,Food,F,213508
Delhi,Platinum,Food,F,147766
Bengaluru,Signature,Food,F,275085
Ahmedabad,Platinum,Food,F,40010
Ahmedabad,Signature,Food,F,66775
Ahmedabad,Platinum,Food,F,292554
Delhi,Platinum,Food,F,263104
Delhi,Platinum,Food,F,154806
Bengaluru,Gold,Food,F,129650
Ahmedabad,Signature,Food,F,249446
Bengaluru,Signature,Food,F,135794
Ahmedabad,Platinum,Food,F,16468
Greater,Gold,Food,F,185621
Delhi,Platinum,Food,F,279320
Greater,Platinum,Food,F,271787
Ahmedabad,Silver,Food,F,64241
Bengaluru,Platinum,Food,F,297737
Bengaluru,Gold,Food,F,192039
Delhi,Gold,Food,F,39866
Bengaluru,Gold,Food,F,112782
Delhi,Gold,Food,F,113433
Greater,Gold,Food,F,95081
Bengaluru,Signature,Food,F,148769
Ahmedabad,Gold,Food,F,161873
Bengaluru,Gold,Food,F,225071
Delhi,Gold,Food,F,260239
Greater,Gold,Food,F,161682
Greater,Signature,Food,F,59926
Bengaluru,Platinum,Food,F,22964
Greater,Platinum,Food,F,48570
Bengaluru,Silver,Food,F,52970
Bengaluru,Platinum,Food,F,13160
Ahmedabad,Gold,Food,F,295163
Bengaluru,Silver,Food,F,158649
Delhi,Platinum,Food,F,120780
Bengaluru,Signature,Food,F,72366
Greater,Silver,Food,F,281805
Bengaluru,Platinum,Food,F,197325
Bengaluru,Platinum,Food,F,167243
Delhi,Signature,Food,F,34451
Ahmedabad,Gold,Food,F,30120
Delhi,Silver,Food,F,189018
Bengaluru,Silver,Food,F,237971
Bengaluru,Gold,Food,F,71741
Ahmedabad,Signature,Food,F,231370
Greater,Gold,Food,F,166896
Delhi,Signature,Food,F,116086
Delhi,Signature,Food,F,35506
Ahmedabad,Signature,Food,F,247122
Bengaluru,Platinum,Food,F,230876
Bengaluru,Signature,Food,F,20358
Delhi,Platinum,Food,F,162487
Bengaluru,Signature,Food,F,245076
Greater,Silver,Food,F,217488
Ahmedabad,Gold,Food,F,23818
Bengaluru,Platinum,Food,F,298295
Delhi,Signature,Food,F,264509
Delhi,Platinum,Food,F,127526
Greater,Platinum,Food,F,158856
Ahmedabad,Silver,Food,F,233893
Delhi,Gold,Food,F,61388
Delhi,Signature,Food,F,149081
Ahmedabad,Gold,Food,F,103225
Ahmedabad,Gold,Food,F,254211
Delhi,Silver,Food,F,64034
Bengaluru,Signature,Food,F,27479
Greater,Platinum,Food,F,175112
Greater,Platinum,Food,F,9001
Bengaluru,Platinum,Food,F,115150
Bengaluru,Gold,Food,F,15615
Greater,Gold,Food,F,56905
Ahmedabad,Signature,Food,F,83916
Delhi,Signature,Food,F,123754
Greater,Platinum,Food,F,81289
Delhi,Gold,Food,F,70494
Ahmedabad,Gold,Food,F,268849
Delhi,Gold,Food,F,154645
Ahmedabad,Gold,Food,F,187546
Ahmedabad,Silver,Food,F,209232
